JUGADOR;EQUIPO;PJ;PI;MIN;GOL;ASIS.;TIROS;TIRO_ARCO;ATAJ;VAY_INV;TARJ_AM;TARJ_ROJ;FAL_COM;FAL_REC;OFFSIDE
Gonçalo Manuel Ganchinho Guedes;Valencia CF;6;5;444;0;0;6;4;0;0;0;0;8;20;2
Gonzalo Ávila;Español;2;1;116;0;0;1;1;0;0;1;0;3;1;0
Gonzalo Escalante;Eibar;16;13;1200;0;1;15;3;0;0;3;1;19;25;1
Gonzalo Melero;Levante;10;7;565;1;1;6;3;0;0;2;0;12;13;1
Gonzalo Pereira;Levante;1;0;13;0;0;0;0;0;0;0;0;0;0;0
Guido Carrillo;Leganés;14;6;610;0;1;15;7;0;0;0;0;11;15;1
Héctor Miguel Herrera López;Atlético de Madrid;12;8;732;0;1;6;0;0;0;0;0;12;8;1
Hernâni Jorge Santos Fortes;Levante;8;4;360;2;0;10;5;0;0;0;1;2;8;3
Hugo Duro;Getafe;2;1;71;0;0;2;1;0;0;1;0;5;2;0
Hugo Mallo;Celta de Vigo;16;14;1196;0;1;3;1;0;0;4;0;14;15;3
Iago Aspas;Celta de Vigo;19;19;1707;7;0;39;23;0;0;4;0;12;36;14
Iago Herrerín;Athletic Club;1;1;90;0;0;0;0;2;0;0;0;0;0;0
Ibai Gómez;Athletic Club;9;3;401;0;0;8;3;0;0;0;0;1;2;1
Iddrisu Baba;Mallorca;17;17;1405;0;0;4;0;0;0;5;0;26;29;1
Ignacio Monreal;Real Sociedad;16;16;1395;1;0;7;3;0;0;1;0;25;7;1
Ignacio Peña;Barcelona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ignacio Vidal Miralles;Osasuna;12;12;1018;0;0;5;1;0;0;3;0;13;15;0
Igor Zubeldia;Real Sociedad;17;16;1444;0;1;4;0;0;0;5;0;29;13;0
Iker Losada;Celta de Vigo;2;0;11;1;0;1;1;0;0;0;0;0;0;0
Iker Muniain;Athletic Club;13;12;1096;4;0;14;8;0;0;0;0;7;26;2
Iñaki Álvarez;Osasuna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iñaki Williams;Athletic Club;19;19;1626;4;0;21;13;0;0;2;0;14;19;11
Iñigo Córdoba;Athletic Club;12;11;695;0;1;10;3;0;0;3;0;17;11;3
Íñigo Lekue;Athletic Club;5;1;142;0;1;1;0;0;0;0;0;3;1;0
Íñigo Martínez Berridi;Athletic Club;17;17;1530;0;1;14;2;0;0;3;0;18;24;1
Iñigo Pérez;Osasuna;5;0;46;0;0;3;2;0;0;0;0;0;0;0
Isco;Real Madrid;11;6;519;0;0;8;6;0;0;1;0;6;14;2
Ismael Gutiérrez;Alavés;3;1;84;0;0;0;0;0;0;1;0;1;1;0
Ismail Köybasi;Granada CF;1;1;45;0;0;0;0;0;0;0;0;1;0;0
Iván Cuéllar;Leganés;12;12;1080;0;0;0;0;31;2;1;0;0;2;0
Iván López Cristóbal;Leganés;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ivan Rakitić;Barcelona;13;6;607;0;2;8;2;0;0;2;0;10;17;0
Iván Ramis;Eibar;7;6;458;1;0;4;2;0;0;1;0;4;5;0
Ivan Saponjic;Atlético de Madrid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iván Villar;Celta de Vigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jaime Mata;Getafe;17;16;1343;5;2;19;9;0;0;6;0;53;31;16
James;Real Madrid;7;4;341;1;1;8;1;0;0;1;0;5;6;2
Jan Oblak;Atlético de Madrid;19;19;1686;0;0;0;0;41;9;0;0;0;5;0
Jaume Costa;Valencia CF;11;9;861;0;0;2;1;0;0;1;0;12;14;1
Jaume Doménech;Valencia CF;6;5;513;0;0;0;0;29;1;0;0;0;0;0
Javier Avilés;Leganés;1;0;12;0;0;0;0;0;0;0;0;0;0;0
Javier Eraso;Leganés;10;3;330;0;0;4;2;0;0;1;0;5;4;1
Javier Hernández Balcázar;Sevilla;9;4;446;1;0;12;6;0;0;0;0;7;12;10
Javier Jiménez;Valencia CF;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Javier López Rodríguez;Español;7;6;541;0;0;0;0;0;0;2;0;9;10;0
Javier Moyano Lujano;Real Valladolid;14;14;1151;0;0;2;0;0;0;2;0;9;11;0
Javier Muñoz;Alavés;1;1;53;0;0;0;0;0;0;0;0;1;0;0
Javier Ontiveros;Villarreal;16;2;300;2;1;22;9;0;0;1;0;11;7;0
